id,pedestrian_category,pedestrian_condition,pedestrian_behaviour,situation_at_the_point_of_accident
41006170150,man,good no adverse circumstances were found,"correct, appropriate",another situation
41006170155,child (up to 15 years),good no adverse circumstances were found,,crossing at a marked crossing
41006170164,Woman,good no adverse circumstances were found,"correct, appropriate",another situation
41006170178,Woman,good no adverse circumstances were found,"correct, appropriate",Crossing outside the crossing (20 metres or more from the crossing)
41006170216,Woman,good no adverse circumstances were found,"correct, appropriate",crossing at a marked crossing
41006170274,man,under the influence of alcohol with a blood alcohol content of 1‰ or more,"sudden entry into the roadway from the sidewalk, shoulder",Crossing outside the crossing (20 metres or more from the crossing)
41006170294,Woman,good no adverse circumstances were found,"correct, appropriate",crossing at a marked crossing
41006170322,child (up to 15 years),"inattention, distraction","sudden entry into the roadway from the sidewalk, shoulder",Crossing outside the crossing (20 metres or more from the crossing)
41006170335,Woman,good no adverse circumstances were found,"correct, appropriate",crossing at a marked crossing
41006170336,child (up to 15 years),"inattention, distraction","sudden entry into the roadway from the sidewalk, shoulder",crossing just in front of or behind a vehicle at a bus stop
41006170349,another group,not detected,,another situation
41006170375,Woman,good no adverse circumstances were found,"correct, appropriate",crossing at a marked crossing
41006170419,Woman,good no adverse circumstances were found,"correct, appropriate",crossing at a marked crossing
41006170435,Woman,"inattention, distraction",poor estimation of the distance and speed of the vehicle,Crossing outside the crossing (20 metres or more from the crossing)
41006170455,Woman,good no adverse circumstances were found,"correct, appropriate",walking on the right side
41006170468,Woman,good no adverse circumstances were found,"correct, appropriate",another situation
41006170479,another group,not detected,,another situation
41006170541,child (up to 15 years),"inattention, distraction","sudden entry into the roadway from the sidewalk, shoulder",Crossing outside the crossing (20 metres or more from the crossing)
41006170560,man,good no adverse circumstances were found,"sudden entry into the roadway from the sidewalk, shoulder",crossing just in front of or behind a vehicle at a bus stop
41006170617,Woman,good no adverse circumstances were found,"correct, appropriate",crossing at a marked crossing
41006170680,Woman,good no adverse circumstances were found,poor estimation of the distance and speed of the vehicle,crossing at a marked crossing
41006170709,Woman,good no adverse circumstances were found,"correct, appropriate",crossing at a marked crossing
41006170740,man,not detected,,another situation
41006170746,Woman,good no adverse circumstances were found,,crossing at a marked crossing
41006170757,child (up to 15 years),good no adverse circumstances were found,"sudden entry into the roadway from the sidewalk, shoulder",Crossing outside the crossing (20 metres or more from the crossing)
41006170759,man,good no adverse circumstances were found,,walking on the wrong side
41006170771,man,good no adverse circumstances were found,"sudden entry into the roadway from the sidewalk, shoulder",Crossing outside the crossing (20 metres or more from the crossing)
41006170826,man,good no adverse circumstances were found,"sudden entry into the roadway from the sidewalk, shoulder",Crossing outside the crossing (20 metres or more from the crossing)
41006170861,another group,not detected,,another situation
41006170862,Woman,good no adverse circumstances were found,"correct, appropriate",crossing at a marked crossing
41006170958,another group,not detected,,another situation
41006170972,child (up to 15 years),good no adverse circumstances were found,"correct, appropriate",another situation
41006170996,child (up to 15 years),"inattention, distraction",Side impact,crossing at a marked crossing
41006171004,child (up to 15 years),good no adverse circumstances were found,,"walking, standing on the pavement"
41006171006,another group,not detected,,another situation
41006171021,man,under the influence of alcohol with a blood alcohol content of 1‰ or more,"correct, appropriate",crossing at a marked crossing
41006171025,man,"inattention, distraction",poor estimation of the distance and speed of the vehicle,crossing at a marked crossing
41006171048,Woman,good no adverse circumstances were found,"correct, appropriate",crossing at a marked crossing
41006171052,another group,not detected,,another situation
41006171054,Woman,good no adverse circumstances were found,"correct, appropriate",crossing at a marked crossing
41006171080,man,"inattention, distraction","confused, hasty, indecisive behaviour",crossing just in front of or behind a parked vehicle
41006171089,man,good no adverse circumstances were found,,another situation
41006171098,man,"inattention, distraction","sudden entry into the roadway from the sidewalk, shoulder",crossing just in front of or behind a parked vehicle
41006171118,child (up to 15 years),"inattention, distraction",poor estimation of the distance and speed of the vehicle,Crossing outside the crossing (20 metres or more from the crossing)
41006171141,another group,not detected,,another situation
41006171174,another group,not detected,,another situation
41006171264,child (up to 15 years),other condition not specified,poor estimation of the distance and speed of the vehicle,Crossing outside the crossing (20 metres or more from the crossing)
41006171280,another group,not detected,,another situation
41006171366,man,under the influence of alcohol with a blood alcohol content of 1‰ or more,,crossing at a marked crossing
41006171377,child (up to 15 years),"inattention, distraction","sudden entry into the roadway from the sidewalk, shoulder",crossing at a marked crossing
